AREA_CD,CATEGORY,AREA_NM,ADM_CD,ADM_NM,overlap_area,poi_area,poi_share
POI037,인구밀집지역,신논현역·논현역,11220570,반포1동,53982.05099211655,194951.6593352316,0.27689967439205543
POI037,인구밀집지역,신논현역·논현역,11220550,잠원동,235.5043495246587,194951.6593352316,0.0012080140806582937
POI037,인구밀집지역,신논현역·논현역,11230640,역삼1동,113.71973261397893,194951.6593352316,0.0005833227221648354
POI038,인구밀집지역,신도림역,11170510,신도림동,62996.35268944002,63000.96957729286,0.9999267171936588
POI038,인구밀집지역,신도림역,11170560,구로5동,2.8204185062274836,63000.96957729286,4.4767858735368317e-05
POI038,인구밀집지역,신도림역,11190760,문래동,1.7231056508874933,63000.96957729286,2.7350462420637796e-05
POI039,인구밀집지역,신림역,11210690,신림동,128160.32075377752,209110.27824767304,0.6128838899156487
POI039,인구밀집지역,신림역,11210640,서원동,80838.09413760263,209110.27824767304,0.3865811609788826
POI039,인구밀집지역,신림역,11210650,신원동,111.8633562922974,209110.27824767304,0.0005349491054658009
POI040,인구밀집지역,신촌·이대역,11130750,신촌동,375747.2602311951,484858.6202315398,0.7749625242338899
POI040,인구밀집지역,신촌·이대역,11140600,대흥동,66059.92597546722,484858.6202315398,0.13624574921225677
POI040,인구밀집지역,신촌·이대역,11140660,서교동,43049.75600316429,484858.6202315398,0.08878826570641618
POI040,인구밀집지역,신촌·이대역,11140760,서강동,1.6780217159190087,484858.6202315398,3.4608474427404935e-06
POI041,인구밀집지역,양재역,11230660,도곡1동,114028.56014095273,288703.9664311239,0.39496707146265175
POI041,인구밀집지역,양재역,11220520,서초2동,100926.33775196996,288703.9664311239,0.34958417440394934
POI041,인구밀집지역,양재역,11220660,양재1동,73749.06853820458,288703.9664311239,0.2554487541334105
POI042,인구밀집지역,역삼역,11230640,역삼1동,270638.88854027883,417515.66515007796,0.6482125369906694
POI042,인구밀집지역,역삼역,11230650,역삼2동,146876.7766097967,417515.66515007796,0.35178746300932484
POI043,인구밀집지역,연신내역,11120580,대조동,43207.57303324115,165119.35812674457,0.2616747880044161
POI043,인구밀집지역,연신내역,11120550,갈현1동,38298.68455128245,165119.35812674457,0.2319454544020491
POI043,인구밀집지역,연신내역,11120520,불광1동,33848.44174368263,165119.35812674457,0.2049937822414546
POI043,인구밀집지역,연신내역,11120560,갈현2동,27190.943235536637,165119.35812674457,0.1646744727209092
POI043,인구밀집지역,연신내역,11120720,불광2동,22573.715563000816,165119.35812674457,0.1367115026311656
POI044,인구밀집지역,오목교역·목동운동장,11150510,목1동,899032.840234396,1087568.7365505004,0.8266446156643913
POI044,인구밀집지역,오목교역·목동운동장,11150710,목5동,183969.7923153957,1087568.7365505004,0.1691569333805075
POI044,인구밀집지역,오목교역·목동운동장,11150650,신정2동,3799.7406527061344,1087568.7365505004,0.003493793564495035
POI044,인구밀집지역,오목교역·목동운동장,11150690,신정6동,766.3633480011813,1087568.7365505004,0.0007046573906049347
POI045,인구밀집지역,왕십리역,11040560,행당1동,161361.59672726714,352806.0287689187,0.45736632474882094
POI045,인구밀집지역,왕십리역,11040540,마장동,114586.21114759377,352806.0287689187,0.32478529788005855
POI045,인구밀집지역,왕십리역,11040550,사근동,76858.2208940674,352806.0287689187,0.21784837737114773
POI046,인구밀집지역,용산역,11030730,한강로동,788900.1330905635,869681.7068978006,0.9071136334517267
POI046,인구밀집지역,용산역,11030570,원효로2동,44764.25730220881,869681.7068978006,0.051472000557405334
POI046,인구밀집지역,용산역,11030720,원효로1동,30270.258159383928,869681.7068978006,0.03480613415149262
POI046,인구밀집지역,용산역,11030640,이촌2동,5747.05834564778,869681.7068978006,0.006608231839379298
POI047,인구밀집지역,이태원역,11030650,이태원1동,114493.84599497926,114493.84599497926,1.0
POI048,인구밀집지역,장지역,11240690,문정2동,294672.77554262854,334882.15079087554,0.8799297748378455
POI048,인구밀집지역,장지역,11240810,장지동,40093.46276689244,334882.15079087554,0.11972409599080028
POI048,인구밀집지역,장지역,11240680,문정1동,115.91248135120276,334882.15079087554,0.0003461291713441808
POI049,인구밀집지역,장한평역,11060870,장안1동,267004.11097567383,447970.2415638191,0.5960309105434979
POI049,인구밀집지역,장한평역,11040700,용답동,180792.35909736936,447970.2415638191,0.4035811808977342
POI049,인구밀집지역,장한평역,11060860,답십리2동,173.77149077957623,447970.2415638191,0.00038790855877604146
POI050,인구밀집지역,천호역,11250730,천호2동,114244.50066839674,154859.55850545364,0.7377297324812755
POI050,인구밀집지역,천호역,11250660,성내2동,31184.97515381779,154859.55850545364,0.20137584954253607
POI050,인구밀집지역,천호역,11240510,풍납1동,9364.464378235147,154859.55850545364,0.06047069014409828
POI050,인구밀집지역,천호역,11250630,천호3동,65.61830500444216,154859.55850545364,0.0004237278320933048
POI051,인구밀집지역,총신대입구(이수)역,11200730,사당2동,126451.17270220397,248921.16983502434,0.5079968601546068
POI051,인구밀집지역,총신대입구(이수)역,11200630,사당1동,71042.20207600397,248921.16983502434,0.28540040255751686
POI051,인구밀집지역,총신대입구(이수)역,11220630,방배2동,25891.62608657132,248921.16983502434,0.10401536399548228
POI051,인구밀집지역,총신대입구(이수)역,11220650,방배4동,25435.67445024327,248921.16983502434,0.10218365302999775
POI051,인구밀집지역,총신대입구(이수)역,11200650,사당3동,100.49452000023874,248921.16983502434,0.0004037202623900681
POI052,인구밀집지역,충정로역,11130730,충현동,74896.46427092729,154369.36642942627,0.4851769881763947
POI052,인구밀집지역,충정로역,11020680,중림동,58554.58070350424,154369.36642942627,0.3793147698787369
POI052,인구밀집지역,충정로역,11140770,공덕동,20913.05779321521,154369.36642942627,0.13547414410602068
POI052,인구밀집지역,충정로역,11130740,북아현동,5.263661782014979,154369.36642942627,3.409783886378384e-05
POI053,인구밀집지역,합정역,11140680,합정동,482644.2927848038,484801.863515408,0.9955495824315542
POI053,인구밀집지역,합정역,11140690,망원1동,2103.614757747011,484801.863515408,0.004339122672700192
POI053,인구밀집지역,합정역,11140660,서교동,53.955972870616414,484801.863515408,0.00011129489577323289
POI054,인구밀집지역,혜화역,11010730,혜화동,113523.9228803914,212007.294367623,0.535471778077313
POI054,인구밀집지역,혜화역,11010640,이화동,98483.37148723252,212007.294367623,0.46452822192269133
POI055,인구밀집지역,홍대입구역(2호선),11140660,서교동,112033.07241634603,112033.07241634604,0.9999999999999999
POI056,인구밀집지역,회기역,11060720,휘경1동,152470.08929254633,297153.52032068575,0.5131020797869121
POI056,인구밀집지역,회기역,11060710,회기동,111405.64402651906,297153.52032068575,0.3749093865901066
POI056,인구밀집지역,회기역,11060730,휘경2동,22277.99824136956,297153.52032068575,0.07497134214438153
POI056,인구밀집지역,회기역,11060890,이문1동,10999.788760260195,297153.52032068575,0.03701719147863135
POI058,발달상권,가락시장,11240660,가락1동,597673.6572800601,624730.8221414229,0.9566898832226374
POI058,발달상권,가락시장,11240690,문정2동,26883.519131333167,624730.8221414229,0.04303216389929843
POI058,발달상권,가락시장,11240650,가락본동,173.64573002844423,624730.8221414229,0.00027795287806231425
POI059,발달상권,가로수길,11230510,신사동,653583.0902045538,653597.2885415987,0.9999782766279882
POI059,발달상권,가로수길,11230770,압구정동,6.369553312608871,653597.2885415987,9.745379034269778e-06
POI059,발달상권,가로수길,11230520,논현1동,4.039307417912542,653597.2885415987,6.18011654688108e-06
POI059,발달상권,가로수길,11220550,잠원동,3.7894763143323473,653597.2885415987,5.797876430589206e-06
POI060,발달상권,광장(전통)시장,11010610,종로1·2·3·4가동,49576.063474565686,63312.13880283516,0.7830419949790993
POI060,발달상권,광장(전통)시장,11010630,종로5·6가동,13734.146800076227,63312.13880283516,0.21692754438207676
POI060,발달상권,광장(전통)시장,11020600,을지로동,1.9285281920919028,63312.13880283516,3.0460638805737867e-05
POI061,발달상권,김포공항,11160690,공항동,460026.5977879459,898845.1633539785,0.5117973779503785
POI061,발달상권,김포공항,11160710,방화2동,438818.56556600454,898845.1633539785,0.4882026220495902
POI063,발달상권,노량진,11200720,노량진1동,471867.20158989803,599325.5187762739,0.7873304019381233
POI063,발달상권,노량진,11200520,노량진2동,127458.31718637649,599325.5187762739,0.21266959806187766
POI064,발달상권,덕수궁길·정동길,11020520,소공동,91985.88863808646,97662.00173556662,0.9418800250188499
POI064,발달상권,덕수궁길·정동길,11010530,사직동,3429.6491198685408,97662.00173556662,0.03511753864266258
POI064,발달상권,덕수궁길·정동길,11010580,교남동,2246.463977613103,97662.00173556662,0.023002436338502612
POI066,발달상권,북촌한옥마을,11010540,삼청동,593387.0675446371,1125402.2953356463,0.527266622792574
POI066,발달상권,북촌한옥마을,11010600,가회동,491050.68620783545,1125402.2953356463,0.43633346781239835
POI066,발달상권,북촌한옥마을,11010610,종로1·2·3·4가동,27447.08100649427,1125402.2953356463,0.024388684046808613
POI066,발달상권,북촌한옥마을,11010720,청운효자동,13508.492230734584,1125402.2953356463,0.01200325633484312
POI066,발달상권,북촌한옥마을,11010730,혜화동,8.96834594570774,1125402.2953356463,7.96901337670808e-06
POI067,발달상권,서촌,11010720,청운효자동,442748.71131088823,613437.4069954453,0.7217504284250074
POI067,발달상권,서촌,11010530,사직동,170688.69568455714,613437.4069954453,0.2782495715749928
POI068,발달상권,성수카페거리,11040680,성수2가3동,396087.60220192163,544996.2842393189,0.7267711976325907
POI068,발달상권,성수카페거리,11040670,성수2가1동,139439.76746990494,544996.2842393189,0.25585452874147324
POI068,발달상권,성수카페거리,11040650,성수1가1동,9437.838103435175,544996.2842393189,0.017317252202201858
POI068,발달상권,성수카페거리,11040660,성수1가2동,31.076464063711697,544996.2842393189,5.7021423746194555e-05
POI070,인구밀집지역,쌍문역,11100530,쌍문3동,148623.77530583064,234833.31980016988,0.632890491997904
POI070,인구밀집지역,쌍문역,11100590,창1동,86196.35444899327,234833.31980016988,0.36705334031108355
POI070,인구밀집지역,쌍문역,11100600,창2동,7.2470516533322185,234833.31980016988,3.086040626389414e-05
POI070,인구밀집지역,쌍문역,11100520,쌍문2동,4.04971414801274,234833.31980016988,1.7245057692233886e-05
POI070,인구밀집지역,쌍문역,11090650,수유3동,1.8932795409829366,234833.31980016988,8.062227040839061e-06
POI071,발달상권,압구정로데오거리,11230770,압구정동,404653.1323350949,634554.532431973,0.6376963864464643
POI071,발달상권,압구정로데오거리,11230780,청담동,229890.73451214185,634554.532431973,0.3622868055658985
POI071,발달상권,압구정로데오거리,11230530,논현2동,10.665584732398504,634554.532431973,1.6807987631136965e-05
POI072,발달상권,여의도,11190540,여의동,4144501.590029672,4144501.5900296723,0.9999999999999999
POI073,발달상권,연남동,11140710,연남동,367914.5034037299,389544.5902743893,0.9444733994241237
POI073,발달상권,연남동,11140720,성산1동,21612.55844385625,389544.5902743893,0.05548160334772636
POI073,발달상권,연남동,11140660,서교동,17.52842679771683,389544.5902743893,4.4997228135988416e-05
POI074,발달상권,영등포 타임스퀘어,11190740,영등포동,257089.532787724,356153.3086318272,0.7218507495419334
POI074,발달상권,영등포 타임스퀘어,11190730,영등포본동,97847.20429527809,356153.3086318272,0.27473338566237343
POI074,발달상권,영등포 타임스퀘어,11190760,문래동,1216.5715488301232,356153.3086318272,0.003415864795707266
POI076,발달상권,용리단길,11030730,한강로동,97793.63374817879,97793.63374817879,1.0
POI077,발달상권,이태원 앤틱가구거리,11030650,이태원1동,124904.1160927834,125867.43425372877,0.9923465655222344
POI077,발달상권,이태원 앤틱가구거리,11030700,보광동,960.7194143981242,125867.43425372877,0.007632787782592488
POI077,발달상권,이태원 앤틱가구거리,11030520,용산2가동,2.5987465494041615,125867.43425372877,2.064669519015936e-05
POI078,발달상권,인사동,11010610,종로1·2·3·4가동,339230.97166330717,340492.5578867405,0.9962948199770846
POI078,발달상권,인사동,11010540,삼청동,1251.203287029783,340492.5578867405,0.0036746861511316093
POI078,발달상권,인사동,11010600,가회동,10.382936405131488,340492.5578867405,3.0493871788484756e-05
POI079,발달상권,창동 신경제 중심지,11110740,상계10동,421101.6226000699,1254719.9014530906,0.3356140459017126
POI079,발달상권,창동 신경제 중심지,11100620,창4동,410628.16327794833,1254719.9014530906,0.3272667969978001
POI079,발달상권,창동 신경제 중심지,11110770,상계6·7동,194745.0040458751,1254719.9014530906,0.1552099427293223
POI079,발달상권,창동 신경제 중심지,11110660,상계2동,136481.3574257832,1254719.9014530906,0.1087743625232406
POI079,발달상권,창동 신경제 중심지,11100630,창5동,91752.4086377158,1254719.9014530906,0.07312580961811267
POI079,발달상권,창동 신경제 중심지,11100590,창1동,5.044970961407566,1254719.9014530906,4.020794565834962e-06
POI079,발달상권,창동 신경제 중심지,11100550,방학1동,3.874448600130895,1254719.9014530906,3.087899216107035e-06
POI079,발달상권,창동 신경제 중심지,11110720,상계8동,2.4260461410683747,1254719.9014530906,1.9335360332284295e-06
POI080,발달상권,청담동 명품거리,11230780,청담동,155369.3330700837,185769.92637428668,0.8363535266577418
POI080,발달상권,청담동 명품거리,11230770,압구정동,30400.593304212798,185769.92637428668,0.16364647334231108
POI081,발달상권,청량리 제기동 일대 전통시장,11060820,제기동,347098.25277722423,405604.44707019755,0.8557555403655431
POI081,발달상권,청량리 제기동 일대 전통시장,11060800,청량리동,57189.230493893236,405604.44707019755,0.14099754306686768
POI081,발달상권,청량리 제기동 일대 전통시장,11060830,전농1동,1216.2097797709862,405604.44707019755,0.002998511945704821
POI081,발달상권,청량리 제기동 일대 전통시장,11060810,용신동,100.75401932673007,405604.44707019755,0.0002484046219278574
POI082,발달상권,해방촌·경리단길,11030520,용산2가동,142514.2780530636,220932.80801255032,0.645057107339929
POI082,발달상권,해방촌·경리단길,11030660,이태원2동,76308.98847088682,220932.80801255032,0.3453945530197218
POI082,발달상권,해방촌·경리단길,11030510,후암동,2109.5414885991904,220932.80801255032,0.009548339640346017
POI083,발달상권,DDP(동대문디자인플라자),11020590,광희동,80275.8712883488,94463.26661470708,0.8498104518846966
POI083,발달상권,DDP(동대문디자인플라자),11020690,신당동,14187.395326357722,94463.26661470708,0.15018954811529747
POI084,발달상권,DMC(디지털미디어시티),11140740,상암동,997346.0960793314,997367.343384967,0.9999786966098534
POI084,발달상권,DMC(디지털미디어시티),11120680,수색동,14.361943149640307,997367.343384967,1.4399853017943499e-05
POI084,발달상권,DMC(디지털미디어시티),11140730,성산2동,6.878395965122318,997367.343384967,6.896552218942438e-06
POI085,공원,강서한강공원,11160761,방화3동,191460.57709014975,297822.7006108526,0.6428676413767398
POI085,공원,강서한강공원,11160710,방화2동,92738.58925662727,297822.7006108526,0.31138858477347336
POI085,공원,강서한강공원,11160751,가양1동,13623.534264075379,297822.7006108526,0.04574377384978605
POI086,공원,고척돔,11170610,고척1동,100922.48626276609,100922.49495442146,0.9999999138779182
POI087,공원,광나루한강공원,11250580,암사2동,332968.6953072057,1240366.8427275296,0.268443724741156
POI087,공원,광나루한강공원,11250560,고덕2동,234461.66657815664,1240366.8427275296,0.189026067532233
POI087,공원,광나루한강공원,11250730,천호2동,218059.73906107247,1240366.8427275296,0.1758026186684946
POI087,공원,광나루한강공원,11240520,풍납2동,159719.8501547042,1240366.8427275296,0.12876823585793784
POI087,공원,광나루한강공원,11240510,풍납1동,116221.51476869328,1240366.8427275296,0.093699307950804
POI087,공원,광나루한강공원,11250550,고덕1동,91372.21826185907,1240366.8427275296,0.07366547952937398
POI087,공원,광나루한강공원,11250590,암사3동,86725.13311794656,1240366.8427275296,0.06991893859984244
POI087,공원,광나루한강공원,11250750,강일동,838.025477912951,1240366.8427275296,0.0006756271201753169
POI088,공원,광화문광장,11010530,사직동,83164.50151259474,138675.71151390992,0.5997048841840836
POI088,공원,광화문광장,11010610,종로1·2·3·4가동,51359.857639102396,138675.71151390992,0.3703594312112163
POI088,공원,광화문광장,11010720,청운효자동,4151.352362215182,138675.71151390992,0.029935684604717384
POI089,공원,국립중앙박물관·용산가족공원,11030690,서빙고동,359804.82653606083,360272.3098934556,0.99870241663165
